geo,year,GOV,PARL,country
AL,2003,,,Albania
AL,2004,,,Albania
AL,2005,,,Albania
AL,2006,,,Albania
AL,2007,,,Albania
AL,2008,,,Albania
AL,2009,,,Albania
AL,2010,,,Albania
AL,2011,,,Albania
AL,2012,,,Albania
AL,2013,,,Albania
AL,2014,,,Albania
AL,2015,,,Albania
AL,2016,,,Albania
AL,2017,,,Albania
AL,2018,46.5,29.3,Albania
AL,2019,48.8,30.3,Albania
AL,2020,47.7,29.8,Albania
AL,2021,59.5,35.7,Albania
AL,2022,,,Albania
AT,2003,26.7,33.7,Austria
AT,2004,27.8,30.5,Austria
AT,2005,37.5,31.4,Austria
AT,2006,33.3,31.0,Austria
AT,2007,35.0,30.6,Austria
AT,2008,35.0,29.9,Austria
AT,2009,33.3,26.7,Austria
AT,2010,38.9,29.4,Austria
AT,2011,33.3,28.6,Austria
AT,2012,33.3,29.0,Austria
AT,2013,33.3,32.1,Austria
AT,2014,31.3,30.3,Austria
AT,2015,31.3,30.5,Austria
AT,2016,25.0,30.7,Austria
AT,2017,26.7,32.0,Austria
AT,2018,37.5,36.5,Austria
AT,2019,50.0,38.9,Austria
AT,2020,52.9,39.8,Austria
AT,2021,47.1,41.6,Austria
AT,2022,44.4,41.4,Austria
BA,2003,,,Bosnia and Herzegovina
BA,2004,,,Bosnia and Herzegovina
BA,2005,,,Bosnia and Herzegovina
BA,2006,,,Bosnia and Herzegovina
BA,2007,,,Bosnia and Herzegovina
BA,2008,,,Bosnia and Herzegovina
BA,2009,,,Bosnia and Herzegovina
BA,2010,,,Bosnia and Herzegovina
BA,2011,,,Bosnia and Herzegovina
BA,2012,,,Bosnia and Herzegovina
BA,2013,,,Bosnia and Herzegovina
BA,2014,,,Bosnia and Herzegovina
BA,2015,,,Bosnia and Herzegovina
BA,2016,,,Bosnia and Herzegovina
BA,2017,,,Bosnia and Herzegovina
BA,2018,10.0,23.8,Bosnia and Herzegovina
BA,2019,11.1,21.1,Bosnia and Herzegovina
BA,2020,15.0,24.6,Bosnia and Herzegovina
BA,2021,15.0,24.6,Bosnia and Herzegovina
BA,2022,,,Bosnia and Herzegovina
BE,2003,40.0,34.2,Belgium
BE,2004,26.3,35.6,Belgium
BE,2005,26.3,35.9,Belgium
BE,2006,25.0,36.5,Belgium
BE,2007,26.3,35.9,Belgium
BE,2008,31.8,38.9,Belgium
BE,2009,18.2,39.8,Belgium
BE,2010,22.7,38.8,Belgium
BE,2011,23.8,39.3,Belgium
BE,2012,31.6,40.1,Belgium
BE,2013,31.6,39.7,Belgium
BE,2014,22.2,41.1,Belgium
BE,2015,27.8,41.4,Belgium
BE,2016,22.2,41.6,Belgium
BE,2017,22.2,40.7,Belgium
BE,2018,22.2,39.5,Belgium
BE,2019,30.8,42.4,Belgium
BE,2020,50.0,43.3,Belgium
BE,2021,50.0,43.8,Belgium
BE,2022,55.0,43.8,Belgium
BG,2003,26.5,25.9,Bulgaria
BG,2004,27.7,28.0,Bulgaria
BG,2005,30.7,21.3,Bulgaria
BG,2006,29.5,21.3,Bulgaria
BG,2007,30.1,21.8,Bulgaria
BG,2008,29.5,21.7,Bulgaria
BG,2009,31.6,21.7,Bulgaria
BG,2010,33.3,22.1,Bulgaria
BG,2011,35.2,22.1,Bulgaria
BG,2012,38.0,23.0,Bulgaria
BG,2013,33.9,24.6,Bulgaria
BG,2014,30.9,20.4,Bulgaria
BG,2015,27.0,19.6,Bulgaria
